날짜,도매지역,총거래물량,평균기온(°C),최저기온(°C),최고기온(°C),강수 계속시간(hr),일강수량(mm),최대 풍속(m/s),평균 풍속(m/s),평균 상대습도(%),합계 일조시간(hr),합계 일사량(MJ/m2),일 최심신적설(cm)
2020-11-28,광주,2853348.0,3.070131673881674,0.7978517316017317,6.303232774170274,0.095275974025974,0.1107954545454545,5.798755411255411,2.957544642857143,50.41621572871573,6.868691829004329,5.046551632395382,0.0
2020-11-29,광주,2845208.0,2.7405284992785,-0.531126893939394,6.524939123376623,0.1813047889610389,0.0246590909090909,4.927297077922078,2.243025793650794,60.48109397546898,4.390982142857142,4.147209280303031,0.0
2020-11-30,광주,2837068.0,2.4841102994227997,-1.261418650793651,7.429651875901876,0.0699553571428571,0.0046875,4.788862734487735,2.1401334776334777,57.167512175324674,8.2240863997114,6.071347628066378,0.0
2020-12-01,광주,2579544.0,2.558924512987013,-2.553251713564213,8.68556231962482,0.0038068181818181,0.0,4.020523088023088,1.7801424963924963,49.98823187229437,8.279154491341991,6.217395427489177,0.0
2020-12-02,광주,2053856.0,4.108764880952381,0.2617555014430014,9.42861516955267,0.004715909090909,0.003125,4.075451388888889,1.7869223484848484,47.84659361471861,4.988710768398269,4.654694579725829,0.0
2020-12-03,광주,2356028.0,3.046579635642136,-0.3818001443001443,7.659485479797979,0.0632142857142857,0.0285714285714285,5.462569895382395,2.4649098124098123,50.44379193722944,7.765235840548341,5.843914457070707,0.0
2020-12-04,광주,2757676.0,1.5351618867243866,-2.780418921356421,6.879764610389611,0.0040827922077922,0.0164772727272727,4.69027913059163,2.12635055916306,53.58769796176046,8.211317640692641,5.991086174242424,0.0
2020-12-05,광주,2482152.0,2.891378517316017,-1.9333004148629147,8.412845418470418,0.0561428571428571,0.0325,4.146486742424242,1.593612463924964,63.74739402958153,6.759161255411256,5.066130456349207,0.0
2020-12-06,광주,2551180.0,4.312775974025974,-0.247253336940837,10.15221726190476,0.02625,0.0,3.981963834776335,1.5495598845598846,66.42670093795094,7.767386363636364,5.630587707431458,0.0
2020-12-07,광주,2620208.0,4.518030303030303,0.0767158189033189,9.535460407647909,0.0188392857142857,0.0,4.731556637806638,1.9650162337662336,63.82372925685426,3.252392676767677,3.64246626984127,0.0
2020-12-08,광주,1740914.0,1.5746536796536796,-2.0041251803751803,6.354238816738817,0.0383685064935064,0.0142045454545454,4.349073322510822,1.96481737012987,55.082278589466085,7.316821789321789,5.39873566017316,0.0
2020-12-09,광주,1284612.0,2.307294823232324,-3.8020603354978353,8.621147186147187,0.0,0.0,3.408388347763348,1.3644160353535355,52.68811913780664,7.613455086580086,5.678359532828283,0.0
2020-12-10,광주,1855667.0,5.778432088744589,2.3506714466089464,10.66146103896104,0.47109375,0.0175,3.55002886002886,1.3218492965367965,60.87308757215008,2.587878787878788,3.0915702561327563,0.0
2020-12-11,광주,2310124.0,6.3195098304473305,2.439063852813853,10.954402507215008,0.1394196428571428,0.00625,3.4391756854256856,1.2173218795093794,71.62257215007214,3.5386674783549785,3.717956664862915,0.0
2020-12-12,광주,3116648.0,4.7359338924963925,0.4912031024531025,8.795331439393939,0.0014204545454545,0.0,5.180863997113997,2.167123466810967,50.52475018037518,7.88284136002886,5.687092893217893,0.0
2020-12-13,광주,2550352.0,2.047205988455989,-2.2951253607503608,7.7218835678210676,1.770578327922078,1.8049968434343435,6.815531655844156,2.548827561327561,63.498002795815296,2.764423701298701,2.531811553030303,0.3377272727272727
2020-12-14,광주,1984056.0,-3.841149891774892,-6.602175775613276,-0.9048160173160174,0.7005844155844156,0.2239853896103896,6.218281926406927,3.54725468975469,45.09634920634921,7.65227408008658,5.695426902958153,0.2191558441558442
2020-12-15,광주,311120.0,-4.968838383838384,-8.530872564935066,-0.9868686868686868,0.6006943993506493,0.1489163961038961,5.558271103896104,2.788264790764791,45.46476370851371,8.236045274170275,5.980904987373737,0.138474025974026
2020-12-16,광주,552864.0,-4.598062770562771,-8.030158279220778,-0.4644606782106782,0.637159090909091,0.1370738636363636,5.705889700577201,2.731039411976912,49.70556141774892,7.8500333694083695,5.870219291125541,0.0499391233766233
2020-12-17,광주,502124.0,-2.8093637265512266,-8.195004509379508,2.7556110209235207,0.3280620941558441,0.0203936688311688,4.48375992063492,1.974869678932179,52.657058080808085,8.16490845959596,5.945906475468975,0.0221590909090909
