날짜,평균기온(°C),최저기온(°C),최고기온(°C),강수 계속시간(hr),일강수량(mm),최대 풍속(m/s),평균 풍속(m/s),평균 상대습도(%),합계 일조시간(hr),합계 일사량(MJ/m2),일 최심신적설(cm)
2021-06-27,23.646590007215007,19.1172849025974,28.76624639249639,0.5189346590909091,2.669517045454546,4.239827741702742,1.7775856782106783,74.91003472222222,8.812591991341991,12.505363455988457,0.0
2021-06-28,23.432374188311687,20.50324089105339,28.193992153679652,0.8229522907647907,3.186839375901876,4.325101461038961,1.7982345779220779,77.85027236652236,6.738249458874459,10.893100514069264,0.0
2021-06-29,23.219469696969696,19.711460588023087,28.194411976911976,0.5163883928571429,3.9168204365079364,4.209017406204906,1.5564398448773449,79.86574765512265,7.286613906926407,11.511207070707071,0.0
2021-06-30,23.572853986291484,20.51974522005772,28.226671176046178,0.28417618145743145,1.5641030844155845,3.572185245310245,1.4354085497835498,79.9517068001443,4.771285624098124,10.048962932900432,0.0
2021-07-01,24.854786255411256,20.014602272727274,30.27000496031746,0.008214285714285712,0.36250000000000004,4.029662247474747,1.6260389610389612,74.90056953463204,9.852233495670996,12.908242334054835,0.0
2021-07-02,24.878443813131312,21.17106240981241,29.463770743145744,0.11848214285714286,0.1875,4.127867965367965,2.013808170995671,73.93858676046176,5.638577290764791,10.787736607142858,0.0
2021-07-03,22.76821563852814,20.803558802308803,25.36978896103896,6.438656881313131,39.59366567460317,6.236697781385281,3.0455717893217895,86.12898178210678,0.3181664862914863,3.094709641053391,0.0
2021-07-04,23.34057133838384,20.935781475468975,26.207559974747475,6.044217893217893,21.174016053391053,6.514770923520923,2.9975067640692643,88.52679563492063,1.8887662337662336,5.651030934343434,0.0
2021-07-05,22.726804202741704,20.3245183982684,25.721301857864358,4.693460452741703,18.661502074314576,4.255660624098124,1.6409411075036076,87.329522005772,0.9144128787878787,5.43761525974026,0.0
2021-07-06,23.74907287157287,21.22098665223665,26.49272501803752,6.593334866522366,45.493703102453104,4.7773597582972585,1.9843199855699856,90.03525252525253,1.7053661616161615,5.577477858946609,0.0
2021-07-07,24.790642135642138,22.70612914862915,27.355299873737373,5.448977047258297,31.486345147907645,3.9533527236652235,1.6227534271284272,91.9901948051948,0.9552417027417027,4.977537878787879,0.0
2021-07-08,24.857208694083695,22.544732593795093,28.69969291125541,2.35206240981241,16.43103896103896,4.049996392496393,1.5948151154401153,88.52948728354978,3.2670310245310246,8.481336264430015,0.0
2021-07-09,24.794906204906205,22.478940746753246,28.70409586940837,1.887736066017316,5.0421085858585855,3.8538180916305915,1.506402417027417,86.45118777056277,5.172565386002886,9.925007395382394,0.0
2021-07-10,25.230070346320346,22.352011183261183,29.672290764790766,0.7220321518759019,4.779098124098124,5.334749278499278,1.9313821248196248,85.01171852453102,6.008301767676768,10.71346663059163,0.0
2021-07-11,25.724477813852815,22.52839871933622,29.986980068542568,1.0498457792207792,1.8663992604617605,4.521592712842713,1.840355339105339,86.0171672077922,4.6003039321789325,9.078718253968255,0.0
2021-07-12,27.16407106782107,23.45481737012987,31.944637896825398,0.0813516865079365,0.48333333333333334,3.834063852813853,1.7157665945165945,81.89376848845599,7.0605145202020205,11.285523764430014,0.0
2021-07-13,27.815667388167387,24.26005681818182,31.968099747474746,0.0001388888888888875,0.008749999999999994,4.288311688311688,1.9836891233766234,79.55881358225108,7.230811237373738,10.866328869047619,0.0
2021-07-14,28.092158639971142,24.614682088744587,32.06574044011544,0.008898809523809519,0.012996031746031745,4.166065566378067,1.924018308080808,79.08658865440115,7.393854617604618,11.728654987373737,0.0
2021-07-15,27.455266504329003,23.97999053030303,32.50817730880231,0.3739488636363636,2.0737720959595958,4.425121302308803,1.6110479797979798,79.9611994949495,8.53898584054834,12.546416892135642,0.0
2021-07-16,26.683441107503608,23.01546536796537,32.18521554834055,0.4065823412698413,3.352119408369408,5.407050414862915,1.7177281746031745,80.27442144660894,8.955372925685426,12.65013216991342,0.0
2021-07-17,26.138434794372294,22.50452380952381,30.51261228354978,0.44975153318903316,2.105070346320346,4.381742424242424,1.8735637626262627,78.42829770923521,7.366994498556998,11.316278093434343,0.0
2021-07-18,26.569746572871573,22.89897231240981,31.26190882034632,0.6778184072871573,4.518994408369409,4.4591341991341995,1.7707665945165945,77.58744543650793,7.392736742424242,11.541797258297258,0.0
2021-07-19,26.515828823953825,23.36487463924964,30.911371753246755,1.0226828102453103,6.131410533910534,3.6611079545454546,1.44025477994228,80.5208446067821,4.857320526695527,9.434505366161616,0.0
2021-07-20,27.399029581529582,23.912405303030305,31.611232864357863,0.08744408369408369,0.049871031746031746,3.264709145021645,1.388997113997114,78.14690521284271,6.5204554473304475,10.563666801948052,0.0
2021-07-21,28.031289231601733,23.382377795815295,33.059739808802306,0.0,0.0,4.016035804473304,1.8180902777777779,73.06986246392496,10.911675685425685,13.673126443001443,0.0
2021-07-22,27.981454274891775,23.637602362914862,32.77586264430015,0.0,0.0,4.245117694805195,1.9917938311688312,71.59502074314574,10.571351911976912,13.60360082972583,0.0
2021-07-23,28.031569715007215,23.87344696969697,32.901040764790764,0.0078125,0.0,3.8759699675324675,1.7476285173160173,72.78391955266956,9.71492288961039,13.201729978354978,0.0
2021-07-24,28.41107142857143,24.487289411976914,33.15370670995671,0.0,0.0,3.894120670995671,1.8123232323232323,71.2493023989899,9.700295364357864,13.108921717171718,0.0
2021-07-25,28.21952516233766,24.374620310245312,32.607896374458875,0.21506696428571428,0.0125,4.238172348484849,2.118357233044733,70.42123917748918,8.82180826118326,12.447895743145743,0.0
2021-07-26,27.88655708874459,24.019420093795095,32.72815882034632,0.16479910714285712,0.24625,4.251078192640692,2.1757544191919194,68.60010732323232,10.600726461038962,13.727740845959596,0.0
2021-07-27,28.21007305194805,23.6190386002886,33.405546536796535,0.0,0.18969065656565656,4.205758477633478,1.8844521103896106,70.97191693722944,10.353486652236652,11.495396374458874,0.0
2021-07-28,28.179934613997112,23.969296987734488,33.276830357142856,0.12103287337662337,0.3171875,4.100646645021645,1.6911999458874458,72.8508170995671,10.265790494227995,12.75243574134199,0.0
2021-07-29,28.094213113275615,24.021473665223667,33.075757124819624,0.09334415584415583,0.07938311688311687,3.652251082251082,1.5666815476190477,74.03959731240981,9.096316287878787,11.836775207431458,0.0
2021-07-30,28.47617198773449,24.123321158008658,33.44326614357864,0.28770089285714284,0.6637500000000001,4.065337301587301,1.8042527958152959,73.25537698412698,9.067204635642135,12.026312635281386,0.0
2021-07-31,28.529554473304472,25.073060515873017,33.33436507936508,1.094045634920635,6.961399711399712,3.7487770562770564,1.6142496392496393,78.29681682900433,8.111594065656567,11.823576208513709,0.0
2021-08-01,27.239378156565657,24.718722943722945,31.626862373737374,3.483252840909091,15.741613906926407,4.470787788600289,1.4277353896103897,85.68063672438672,3.758190386002886,7.554572916666666,0.0
2021-08-02,26.613657557720057,24.554517045454546,30.150299422799424,2.255953733766234,12.40827426046176,3.833772546897547,1.4033405483405483,87.57118551587301,3.8018312590187593,7.514595463564214,0.0
2021-08-03,27.331861922799423,24.114859758297257,31.483123196248197,0.7448392857142857,5.418872655122655,3.980925775613276,1.4750392316017316,82.38500992063491,5.739395292207792,9.762679292929292,0.0
2021-08-04,28.414401154401155,24.534162157287156,33.11834460678211,0.04725,0.11678571428571427,3.6704856601731604,1.4875396825396825,75.59294733044733,9.869157647907649,12.767610840548341,0.0
2021-08-05,28.82315386002886,24.66172123015873,33.82022005772006,0.03875,0.11591269841269841,3.5891175144300145,1.3629779942279943,74.05731105699856,10.381574224386725,12.654116792929294,0.0
2021-08-06,27.95970689033189,23.974468344155845,33.83411435786436,0.4368709415584416,5.373092532467532,5.344909361471862,1.6464718614718614,76.58465683621934,9.483718885281386,12.133831664862914,0.0
2021-08-07,27.68806818181818,23.38604482323232,33.06308531746032,0.46845941558441556,2.3452083333333333,3.9335646645021645,1.5603968253968254,75.90880772005772,9.512037337662338,12.727718975468976,0.0
2021-08-08,25.701300054112554,23.277525703463205,29.56747159090909,3.3392918019480518,11.486122384559884,4.635112734487734,1.6615661075036074,84.7698079004329,1.53917794011544,5.393010010822511,0.0
2021-08-09,26.74307269119769,22.5404090007215,31.88714917027417,1.3310588023088024,3.5897930194805197,4.5857399891774895,2.1787987012987013,73.08479617604618,8.777907196969696,12.30349981962482,0.0
2021-08-10,25.672756583694085,22.688746843434345,30.05554338023088,1.0200927128427129,5.167232142857142,4.2635836038961035,1.7600387806637807,79.39799332611832,6.6178693181818184,10.496132665945165,0.0
2021-08-11,25.861378066378066,22.26882665945166,30.81705762987013,0.8550775162337663,3.118250811688312,3.962718704906205,1.494032738095238,80.05273178210679,6.3501443001443,8.113582656926408,0.0
2021-08-12,25.8216332972583,22.321732503607503,30.3819954004329,0.8645635371572872,2.2317938311688312,3.787189754689755,1.483800955988456,79.73039862914862,4.666900703463203,8.4213005501443,0.0
2021-08-13,25.254833603896103,22.59265376984127,28.639790764790767,1.7851003336940836,3.164927398989899,3.6094209956709955,1.6351213023088023,80.90287923881674,1.498786075036075,6.147142135642135,0.0
2021-08-14,24.060088383838384,21.90583107864358,27.523676497113996,4.184769976551227,11.653947961760462,4.356916486291486,1.943190836940837,80.82781926406926,2.4973827561327564,6.608726821789322,0.0
